WsWaIdx,SiteName,Month,Day,Year,avg_Tsfc_F,max_Tsfc_F,min_Tsfc_F,tot_Tsfc_F,avg_Tdew_F,max_Tdew_F,min_Tdew_F,tot_Tdew_F,avg_Twet_F,max_Twet_F,min_Twet_F,tot_Twet_F,avg_Rh_PCT,max_Rh_PCT,min_Rh_PCT,tot_Rh_PCT,avg_Psfc_MB,max_Psfc_MB,min_Psfc_MB,tot_Psfc_MB,avg_CldCov_PCT,max_CldCov_PCT,min_CldCov_PCT,tot_CldCov_PCT,avg_Twc_F,max_Twc_F,min_Twc_F,tot_Twc_F,avg_Tapp_F,max_Tapp_F,min_Tapp_F,tot_Tapp_F,avg_Spd_KTS,max_Spd_KTS,min_Spd_KTS,tot_Spd_KTS,avg_Dir_DEG,max_Dir_DEG,min_Dir_DEG,tot_Dir_DEG,avg_PcpPrevHr_IN,max_PcpPrevHr_IN,min_PcpPrevHr_IN,tot_PcpPrevHr_IN,avg_DnSol_WsqM,max_DnSol_WsqM,min_DnSol_WsqM,tot_DnSol_WsqM,avg_DiffHorz_WsqM,max_DiffHorz_WsqM,min_DiffHorz_WsqM,tot_DiffHorz_WsqM,avg_DirNormIr_WsqM,max_DirNormIr_WsqM,min_DirNormIr_WsqM,tot_DirNormIr_WsqM,avg_Spd_MPH,max_Spd_MPH,min_Spd_MPH,tot_Spd_MPH
39899,KMDW,1,1,2003,31.100000,33.8,30.2,746.4,22.080000,26.5,19.3,529.8,28.120000,31.1,26.8,674.9,69,75,64,1662,994.360000,995.9,993.2,23864.6,87,98,69,2106,19.280000,25.3,16.8,462.7,19.280000,25.3,16.8,462.7,16,20,10,389,41,60,20,990,0.000000,0.00,0.00,0.00,53,231,0,1279,44,191,0,1060,28,162,0,674,18,23,12,448
39899,KMDW,1,2,2003,29.000000,30.2,28.4,696.0,22.300000,24.7,19.3,535.2,26.830000,27.7,25.6,643.9,76,86,69,1832,993.670000,994.9,992.6,23848.1,100,100,100,2400,18.980000,21.9,16.2,455.5,18.980000,21.9,16.2,455.5,10,15,6,257,55,80,30,1340,0.000000,0.01,0.00,0.02,22,90,0,535,22,90,0,535,0,0,0,0,12,17,7,296
39899,KMDW,1,3,2003,29.000000,33.8,24.8,696.0,20.610000,24.7,19.3,494.7,26.330000,29.0,23.2,631.8,71,86,55,1717,994.680000,996.2,993.2,23872.2,88,100,38,2135,21.290000,26.4,14.6,510.9,21.290000,26.4,14.6,510.9,7,11,3,173,301,350,20,7240,0.000000,0.00,0.00,0.00,47,221,0,1150,42,189,0,1030,14,75,0,343,8,13,3,198
39899,KMDW,1,4,2003,26.750000,33.8,21.2,642.0,20.800000,26.5,17.5,499.2,24.880000,29.0,20.2,597.2,79,93,55,1905,993.050000,995.5,989.6,23833.3,55,99,1,1322,18.970000,26.4,11.7,455.3,18.970000,26.4,11.7,455.3,6,11,3,159,185,250,140,4460,0.000000,0.01,0.00,0.03,70,318,0,1685,39,177,0,949,91,595,0,2201,7,13,3,184
39899,KMDW,1,5,2003,31.330000,33.8,30.2,751.8,29.190000,30.1,26.5,700.6,30.530000,32.1,28.9,732.8,92,100,86,2211,991.500000,996.2,988.6,23796.0,94,100,77,2271,26.350000,30.2,23.5,632.3,26.350000,30.2,23.5,632.3,4,10,1,112,263,360,100,6320,0.010000,0.02,0.00,0.12,37,145,0,897,36,145,0,879,3,34,0,72,5,12,1,131
39899,KMDW,1,6,2003,30.280000,33.8,26.6,726.6,20.950000,30.1,15.7,502.8,27.330000,32.1,24.4,655.9,69,93,51,1657,1003.920000,1007.2,996.9,24094.1,62,100,7,1503,20.950000,25.8,18.1,502.9,20.950000,25.8,18.1,502.9,10,16,4,254,314,360,210,7550,0.000000,0.01,0.00,0.02,63,290,0,1531,44,197,0,1073,57,404,0,1390,12,18,5,294
39899,KMDW,1,7,2003,33.760000,44.6,24.8,810.3,26.480000,31.9,19.3,635.5,30.920000,39.0,23.2,742.1,75,86,61,1803,991.430000,1003.5,982.6,23794.2,67,97,27,1614,23.500000,37.4,14.7,564.0,23.500000,37.4,14.7,564.0,14,20,6,349,250,280,230,6020,0.000000,0.01,0.00,0.01,45,233,0,1096,39,195,0,937,17,156,0,419,16,23,7,402
39899,KMDW,1,8,2003,45.280000,53.6,37.4,1086.6,31.080000,35.5,26.5,745.8,39.010000,44.9,34.3,936.2,58,75,46,1405,977.710000,982.9,971.6,23465.1,50,99,32,1201,39.280000,49.5,29.3,942.7,39.280000,49.5,29.3,942.7,11,16,5,276,262,280,240,6290,0.000000,0.00,0.00,0.00,76,333,0,1833,43,199,0,1033,98,605,0,2366,13,18,6,321
39899,KMDW,1,9,2003,37.030000,42.8,30.2,888.6,24.400000,28.3,15.7,585.6,32.240000,35.7,25.9,773.7,60,80,49,1454,980.300000,987.2,974.9,23527.1,53,100,1,1272,28.200000,37.0,19.3,676.7,28.200000,37.0,19.3,676.7,12,18,9,308,292,360,260,7010,0.000000,0.02,0.00,0.05,58,297,0,1396,40,191,0,970,59,512,0,1417,14,21,10,358
39899,KMDW,1,10,2003,22.700000,28.4,15.8,544.8,10.730000,15.7,6.2,257.5,19.320000,24.7,13.3,463.6,54,73,43,1315,991.640000,996.9,987.6,23799.4,85,100,21,2060,9.460000,17.0,1.4,227.1,9.460000,17.0,1.4,227.1,13,20,9,329,295,330,280,7090,0.000000,0.00,0.00,0.00,54,235,0,1305,45,198,0,1102,25,156,0,618,15,23,10,378
39899,KMDW,1,11,2003,14.530000,19.4,8.6,348.6,3.400000,6.2,0.4,81.6,12.010000,15.8,7.1,288.3,55,66,41,1327,1000.390000,1006.5,996.9,24009.3,5,16,1,141,-0.060000,6.4,-8.4,-1.4,-0.060000,6.4,-8.4,-1.4,12,17,7,289,285,300,260,6840,0.000000,0.00,0.00,0.00,95,431,0,2287,25,104,0,621,192,820,0,4615,13,20,8,334
39899,KMDW,1,12,2003,21.280000,32.0,10.4,510.6,8.900000,13.9,4.0,213.6,17.840000,25.3,9.4,428.2,55,78,34,1342,1002.760000,1007.2,994.2,24066.3,4,12,0,113,10.920000,23.0,2.2,262.0,10.920000,23.0,2.2,262.0,9,17,4,225,234,320,210,5630,0.000000,0.00,0.00,0.00,97,448,0,2351,24,95,0,588,201,863,0,4829,11,20,5,264
39899,KMDW,1,13,2003,23.530000,28.4,19.4,564.6,7.790000,17.5,1.2,186.9,19.490000,25.2,15.3,467.7,47,72,32,1132,999.220000,1001.9,993.2,23981.3,53,98,0,1286,12.380000,19.7,5.0,297.1,12.380000,19.7,5.0,297.1,10,17,6,249,302,350,230,7270,0.000000,0.00,0.00,0.00,73,339,0,1768,45,208,0,1089,81,552,0,1967,12,20,7,288
39899,KMDW,1,14,2003,15.130000,19.4,10.4,363.0,8.290000,13.9,0.6,198.9,13.400000,17.6,8.6,321.7,68,86,56,1653,1002.010000,1003.2,1000.9,24048.3,40,100,0,981,2.050000,10.4,-6.1,49.3,2.050000,10.4,-6.1,49.3,10,15,6,240,302,340,280,7270,0.000000,0.00,0.00,0.00,82,346,0,1985,40,184,0,979,118,600,0,2839,11,17,7,279
39899,KMDW,1,15,2003,12.430000,21.2,5.0,298.2,2.960000,9.4,-1.6,71.0,10.370000,17.1,4.0,248.9,60,79,41,1463,1004.770000,1006.5,1002.9,24114.5,32,87,3,771,0.330000,11.7,-10.8,8.0,0.330000,11.7,-10.8,8.0,8,12,3,193,284,310,220,6820,0.000000,0.00,0.00,0.00,98,440,0,2354,26,109,0,641,191,824,0,4590,9,14,3,223
