WsWaIdx,DateHrGmt,DateHrLwt,FcastHr,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
39899,2014-06-26-06,2014-06-26-00,0,62.6,58.9,60.3,88,995.5,74,62.2,62.2,7,10,0.00,0,0,0,8
39899,2014-06-26-07,2014-06-26-01,0,62.6,58.9,60.3,88,995.9,83,62.3,62.3,6,310,0.00,0,0,0,7
39899,2014-06-26-08,2014-06-26-02,0,62.6,57.1,59.3,83,995.5,81,62.1,62.1,7,360,0.00,0,0,0,8
39899,2014-06-26-09,2014-06-26-03,0,60.8,57.1,58.5,88,995.5,44,59.7,59.7,8,10,0.00,0,0,0,9
39899,2014-06-26-10,2014-06-26-04,0,60.8,57.1,58.5,88,995.9,42,60.0,60.0,7,60,0.00,0,0,0,8
39899,2014-06-26-11,2014-06-26-05,0,60.8,57.1,58.5,88,995.9,49,60.1,60.1,6,20,0.00,10,10,0,7
39899,2014-06-26-12,2014-06-26-06,0,61.0,57.6,58.7,89,1018.2,72,60.3,60.3,7,20,0.00,103,62,213,8
39899,2014-06-26-13,2014-06-26-07,0,62.6,57.1,59.3,83,996.9,91,62.6,62.6,4,20,0.00,215,154,164,5
39899,2014-06-26-14,2014-06-26-08,0,62.6,57.1,59.3,83,996.9,96,62.4,62.4,6,20,0.00,337,245,169,7
39899,2014-06-26-15,2014-06-26-09,0,66.2,58.9,61.6,78,996.5,87,66.2,66.2,7,20,0.00,545,310,338,8
39899,2014-06-26-16,2014-06-26-10,0,71.6,60.7,64.5,69,995.9,87,71.6,76.2,6,360,0.00,671,319,431,7
39899,2014-06-26-17,2014-06-26-11,0,73.4,62.5,66.1,69,995.5,85,73.4,77.0,7,90,0.00,773,356,462,8
39899,2014-06-26-18,2014-06-26-12,0,75.2,62.6,66.6,65,995.2,42,75.2,78.0,8,30,0.00,921,278,681,9
39899,2014-06-26-19,2014-06-26-13,0,75.0,62.9,65.3,66,1017.5,9,75.0,77.9,7,40,0.00,931,247,727,8
39899,2014-06-26-20,2014-06-26-14,0,75.2,62.6,66.6,65,994.9,1,75.2,78.0,9,70,0.00,877,218,741,10
39899,2014-06-26-21,2014-06-26-15,0,73.4,62.5,66.1,69,994.6,11,73.4,77.0,11,80,0.00,778,170,764,13
39899,2014-06-26-22,2014-06-26-16,0,71.6,62.5,65.4,73,994.2,27,71.6,76.2,11,90,0.00,622,157,697,13
39899,2014-06-26-23,2014-06-26-17,0,72.0,62.0,64.9,71,1016.5,46,72.0,76.4,10,90,0.00,442,111,651,12
39899,2014-06-27-00,2014-06-26-18,0,66.2,60.7,62.7,83,994.2,42,65.9,65.9,10,100,0.00,262,133,385,12
39899,2014-06-27-01,2014-06-26-19,0,64.4,60.7,62.0,88,994.6,19,64.4,64.4,6,80,0.00,107,77,191,7
39899,2014-06-27-02,2014-06-26-20,0,62.6,60.7,61.4,94,994.9,23,62.4,62.4,6,60,0.00,0,0,0,7
39899,2014-06-27-03,2014-06-26-21,0,62.6,60.7,61.4,94,995.2,30,62.1,62.1,7,90,0.00,0,0,0,8
39899,2014-06-27-04,2014-06-26-22,0,62.6,60.7,61.4,94,995.5,32,62.1,62.1,7,80,0.00,0,0,0,8
39899,2014-06-27-05,2014-06-26-23,0,62.1,59.9,59.5,93,1017.8,37,61.4,61.4,7,80,0.00,0,0,0,8
39899,2014-06-27-06,2014-06-27-00,0,62.6,60.7,61.4,94,994.9,59,62.0,62.0,7,90,0.00,0,0,0,8
39899,2014-06-27-07,2014-06-27-01,0,62.6,60.7,61.4,94,994.9,56,62.6,62.6,3,90,0.00,0,0,0,3
39899,2014-06-27-08,2014-06-27-02,0,64.4,62.5,63.2,94,994.6,38,64.4,64.4,3,70,0.00,0,0,0,3
39899,2014-06-27-09,2014-06-27-03,0,64.4,62.5,63.2,94,994.6,28,64.4,64.4,4,90,0.00,0,0,0,5
39899,2014-06-27-10,2014-06-27-04,0,64.4,62.5,63.2,94,994.9,28,64.4,64.4,5,100,0.00,0,0,0,6
39899,2014-06-27-11,2014-06-27-05,0,64.4,62.5,63.2,94,994.9,22,64.4,64.4,6,70,0.00,10,10,0,7
39899,2014-06-27-12,2014-06-27-06,0,69.8,64.3,66.1,83,994.9,16,69.8,69.8,6,70,0.00,116,81,181,7
39899,2014-06-27-13,2014-06-27-07,0,75.2,66.1,69.0,74,995.2,47,75.2,78.4,7,140,0.00,292,112,486,8
39899,2014-06-27-14,2014-06-27-08,0,80.6,66.2,70.5,62,994.6,100,80.6,83.3,6,120,0.00,476,138,623,7
39899,2014-06-27-15,2014-06-27-09,0,84.2,66.2,71.5,55,994.2,100,84.2,87.1,7,160,0.00,645,165,691,8
39899,2014-06-27-16,2014-06-27-10,0,84.9,66.5,71.2,54,1016.5,78,84.9,88.0,7,160,0.00,791,213,708,8
39899,2014-06-27-17,2014-06-27-11,0,87.8,66.3,72.5,49,993.9,76,87.8,91.2,7,190,0.00,886,240,715,8
39899,2014-06-27-18,2014-06-27-12,0,87.1,65.7,71.0,49,1016.1,80,87.1,90.1,8,190,0.00,942,230,753,9
39899,2014-06-27-19,2014-06-27-13,0,89.6,64.5,71.7,43,992.9,100,89.6,92.3,8,180,0.00,928,233,739,9
39899,2014-06-27-20,2014-06-27-14,0,89.6,64.5,71.7,43,992.6,100,89.6,92.3,9,180,0.00,862,257,680,10
39899,2014-06-27-21,2014-06-27-15,0,89.6,64.5,71.7,43,992.2,100,89.6,92.3,10,170,0.00,763,211,693,12
39899,2014-06-27-22,2014-06-27-16,0,89.6,64.5,71.7,43,992.2,100,89.6,92.3,11,190,0.00,618,155,694,13
