"YEAR","MONTH","DAY","AVG_TSFC_F","MAX_TSFC_F","MIN_TSFC_F","AVG_TDEW_F","MAX_TDEW_F","MIN_TDEW_F","AVG_RH_PCT","MAX_RH_PCT","MIN_RH_PCT","AVG_CLDCOV_PCT","MAX_CLDCOV_PCT","MIN_CLDCOV_PCT","AVG_TAPP_F","MAX_TAPP_F","MIN_TAPP_F","TOT_PCPPREVHR_IN","AVG_SPD_MPH","MAX_SPD_MPH","MIN_SPD_MPH","AVG_TSFC_F_DIFF1","MAX_TSFC_F_DIFF1","MIN_TSFC_F_DIFF1","AVG_TDEW_F_DIFF1","MAX_TDEW_F_DIFF1","MIN_TDEW_F_DIFF1","AVG_RH_PCT_DIFF1","MAX_RH_PCT_DIFF1","MIN_RH_PCT_DIFF1","AVG_CLDCOV_PCT_DIFF1","MAX_CLDCOV_PCT_DIFF1","MIN_CLDCOV_PCT_DIFF1","AVG_TAPP_F_DIFF1","MAX_TAPP_F_DIFF1","MIN_TAPP_F_DIFF1","TOT_PCPPREVHR_IN_DIFF1","AVG_SPD_MPH_DIFF1","MAX_SPD_MPH_DIFF1","MIN_SPD_MPH_DIFF1","AVG_TSFC_F_DIFF2","MAX_TSFC_F_DIFF2","MIN_TSFC_F_DIFF2","AVG_TDEW_F_DIFF2","MAX_TDEW_F_DIFF2","MIN_TDEW_F_DIFF2","AVG_RH_PCT_DIFF2","MAX_RH_PCT_DIFF2","MIN_RH_PCT_DIFF2","AVG_CLDCOV_PCT_DIFF2","MAX_CLDCOV_PCT_DIFF2","MIN_CLDCOV_PCT_DIFF2","AVG_TAPP_F_DIFF2","MAX_TAPP_F_DIFF2","MIN_TAPP_F_DIFF2","TOT_PCPPREVHR_IN_DIFF2","AVG_SPD_MPH_DIFF2","MAX_SPD_MPH_DIFF2","MIN_SPD_MPH_DIFF2"
2003,1,1,31.1,33.8,30.2,22.08,26.5,19.3,69,75,64,87,98,69,19.28,25.3,16.8,0,18,23,12,-3.9,-5.4,-1.8,0.8925,-3.6,1.8,11.292,0,23,12.667,-2,64,-9.0783,-11.6,-6.7,0,9.7083,11,9,-18.45,-27,-9,-22.041,-27,-12.6,-13.083,-25,-6,-9.8333,-2,-15,-24.991,-33.4,-14.8,-0.15,3.2917,2,3
2003,1,2,29,30.2,28.4,22.3,24.7,19.3,76,86,69,100,100,100,18.98,21.9,16.2,0.02,12,17,7,-2.1,-3.6,-1.8,0.22,-1.8,0,7,11,5,13,2,31,-0.3,-3.4,-0.6,0.02,-6,-6,-5,-6,-9,-3.6,1.1125,-5.4,1.8,18.292,11,28,25.667,0,95,-9.3783,-15,-7.3,0.02,3.7083,5,4
2003,1,3,29,33.8,24.8,20.61,24.7,19.3,71,86,55,88,100,38,21.29,26.4,14.6,0,8,13,3,0,3.6,-3.6,-1.69,0,0,-5,0,-14,-12,0,-62,2.31,4.5,-1.6,-0.02,-4,-4,-4,-2.1,0,-5.4,-1.47,-1.8,0,2,11,-9,1,2,-31,2.01,1.1,-2.2,0,-10,-10,-9
2003,1,4,26.75,33.8,21.2,20.8,26.5,17.5,79,93,55,55,99,1,18.97,26.4,11.7,0.03,7,13,3,-2.25,0,-3.6,0.19,1.8,-1.8,8,7,0,-33,-1,-37,-2.32,0,-2.9,0.03,-1,0,0,-2.25,3.6,-7.2,-1.5,1.8,-1.8,3,7,-14,-45,-1,-99,-0.01,4.5,-4.5,0.01,-5,-4,-4
2003,1,5,31.33,33.8,30.2,29.19,30.1,26.5,92,100,86,94,100,77,26.35,30.2,23.5,0.12,5,12,1,4.58,0,9,8.39,3.6,9,13,7,31,39,1,76,7.38,3.8,11.8,0.09,-2,-1,-2,2.33,0,5.4,8.58,5.4,7.2,21,14,31,6,0,39,5.06,3.8,8.9,0.12,-3,-1,-2
2003,1,6,30.28,33.8,26.6,20.95,30.1,15.7,69,93,51,62,100,7,20.95,25.8,18.1,0.02,12,18,5,-1.05,0,-3.6,-8.24,0,-10.8,-23,-7,-35,-32,0,-70,-5.4,-4.4,-5.4,-0.1,7,6,4,3.53,0,5.4,0.15,3.6,-1.8,-10,0,-4,7,1,6,1.98,-0.6,6.4,-0.01,5,5,2
2003,1,7,33.76,44.6,24.8,26.48,31.9,19.3,75,86,61,67,97,27,23.5,37.4,14.7,0.01,16,23,7,3.48,10.8,-1.8,5.53,1.8,3.6,6,-7,10,5,-3,20,2.55,11.6,-3.4,-0.01,4,5,2,2.43,10.8,-5.4,-2.71,1.8,-7.2,-17,-14,-25,-27,-3,-50,-2.85,7.2,-8.8,-0.11,11,11,6
2003,1,8,45.28,53.6,37.4,31.08,35.5,26.5,58,75,46,50,99,32,39.28,49.5,29.3,0,13,18,6,11.52,9,12.6,4.6,3.6,7.2,-17,-11,-15,-17,2,5,15.78,12.1,14.6,-0.01,-3,-5,-1,15,19.8,10.8,10.13,5.4,10.8,-11,-18,-5,-12,-1,25,18.33,23.7,11.2,-0.02,1,0,1
2003,1,9,37.03,42.8,30.2,24.4,28.3,15.7,60,80,49,53,100,1,28.2,37,19.3,0.05,14,21,10,-8.25,-10.8,-7.2,-6.68,-7.2,-10.8,2,5,3,3,1,-31,-11.08,-12.5,-10,0.05,1,3,4,3.27,-1.8,5.4,-2.08,-3.6,-3.6,-15,-6,-12,-14,3,-26,4.7,-0.4,4.6,0.04,-2,-2,3
2003,1,10,22.7,28.4,15.8,10.73,15.7,6.2,54,73,43,85,100,21,9.46,17,1.4,0,15,23,10,-14.33,-14.4,-14.4,-13.67,-12.6,-9.5,-6,-7,-6,32,0,20,-18.74,-20,-17.9,-0.05,1,2,0,-22.58,-25.2,-21.6,-20.35,-19.8,-20.3,-4,-2,-3,35,1,-11,-29.82,-32.5,-27.9,0,2,5,4
